old_url,new_url
http://geotribu.net/node/564,/rdp/2013/rdp_2013-01-04/
http://geotribu.net/node/565,https://github.com/geotribu/website/issues/new?assignees=aurelienchaumet%2C+Guts%2C+igeofr&labels=contribution+externe%2C+rdp&template=suggestion-de-news-pour-une-revue-de-presse.md&title=%5BNews+GeoRDP%5D
http://geotribu.net/node/566,/rdp/2013/rdp_2013-01-11/
http://geotribu.net/node/592,/rdp/2013/rdp_2013-04-19/
http://geotribu.net/node/623,???
http://geotribu.net/node/641,/rdp/2013/rdp_2013-08-23/
http://geotribu.net/node/645,/rdp/2013/rdp_2013-09-06/
http://geotribu.net/node/649,/team/gdbo/
http://geotribu.net/node/650,/rdp/2013/rdp_2013-09-27/
http://geotribu.net/node/654,/articles/2013/art_2013-10-02/
http://geotribu.net/node/655,/rdp/2013/rdp_2013-10-11/
http://geotribu.net/node/657,/rdp/2013/rdp_2013-10-18/
http://geotribu.net/node/676,/rdp/2013/rdp_2013-11-15/
http://geotribu.net/node/680,/articles/2014/art_2014-03-19_geogame_pendu_geomatique/
http://geotribu.net/node/682,???
http://geotribu.net/node/685,/rdp/2013/rdp_2013-12-06/
http://geotribu.net/node/688,/rdp/2013/rdp_2013-12-20/
http://geotribu.net/node/694,/rdp/2014/rdp_2014-01-10/
http://www.geotribu.net/node/696,???
http://geotribu.net/node/701,/rdp/2014/rdp_2014-02-07/
http://geotribu.net/node/703,/articles/2014/art_2014-03-07/
http://geotribu.net/node/704,/rdp/2014/rdp_2014-02-21/
http://geotribu.net/node/707,/rdp/2014/rdp_2014-02-28/
http://geotribu.net/node/714,/rdp/2014/rdp_2014-04-01/
http://geotribu.net/node/722,/rdp/2014/rdp_2014-05-09/
http://geotribu.net/node/726,/rdp/2014/rdp_2014-05-30/
http://geotribu.net/node/760,/rdp/2014/rdp_2014-10-24/
